nb_letters,first_letter,top_word,score
6,A,ARITES,25.873428331936296
6,B,BAISER,21.942135289323552
6,C,CARIES,29.72257250945776
6,D,DERAIE,17.918735891647856
6,E,ETIRES,25.8755846585594
6,F,FURIES,14.955082742316783
6,G,GARNIE,15.189889025893958
6,H,HAIRES,7.547368421052631
6,I,INOUIE,6.407114624505929
6,J,JUNTES,5.661417322834645
6,L,LIURES,14.737127371273711
6,M,MARIES,13.610503282275712
6,N,NOIRES,8.266666666666667
6,O,ORTIES,7.584856396866841
6,P,PARIES,21.290611028315947
6,R,RETAIS,22.95026642984014
6,S,SAURIE,20.859430604982208
6,T,TARIES,14.505505505505504
6,U,USANTE,2.094736842105263
6,V,VARIES,9.115241635687733
7,A,ALAIRES,22.56917978458989
7,B,BATIERS,15.4508276533593
7,L,LATINES,8.957759412304867
7,S,SAURIES,14.187755102040816
9,L,LATINISEE,3.6621417797888394
